scope,site,standpoint,component,category,event_count,transport_contribution,transport_fraction,mean_sab_w_m2,absorbed_power_w,sar_wb_w_kg,body_fraction_sar_wb_w_kg,status
standpoint,korenmarkt,6,first_diffuse,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,6,first_diffuse,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,6,non_direct,atlas_interface,1223864,0.004407644123806426,0.9125900975534242,8.026738110907415,15.03005057487541,0.20759738363087565,0.8931680525497263,pass
standpoint,korenmarkt,6,non_direct,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,6,non_direct,geometric_no_panorama_evidence,5231,2.365384891088344e-06,0.0004897461700346001,0.005384246082667272,0.010081989696424187,0.00013925400133182577,0.000599127132548338,pass
standpoint,korenmarkt,6,non_direct,geometric_evidence_refused_host_compatibility,137140,0.00041980853954006934,0.08692015627654107,0.9546949479879563,1.7876643231125522,0.02469149617558774,0.10623282031772538,pass
standpoint,korenmarkt,6,non_direct,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,6,non_direct,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,6,non_direct,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,7,direct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
standpoint,korenmarkt,7,specular,atlas_interface,12688,0.005055102552348918,0.9684155842729044,9.597717805011067,17.971706815334322,0.2482279946869381,0.966571670900011,pass
standpoint,korenmarkt,7,specular,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,7,specular,geometric_no_panorama_evidence,112,5.552688079784748e-06,0.001063738987564417,0.013428937784914193,0.025145658334092328,0.00034731572284657936,0.0013524080512556642,pass
