record_type,site,look,component,metric,quantile,standpoint,stratum,estimate,sealed_16_estimate,change_from_sealed_16_db,bootstrap_95_low,bootstrap_95_high
route_quantile,korenmarkt,48,direct,total_transfer_m_inv2,q10,,,0.0008347350724473275,,1.928654933106574e-15,0.0008347350724473275,0.0008347350724473275
route_quantile,korenmarkt,48,direct,total_transfer_m_inv2,q50,,,0.0010059615350724652,,0.0,0.0010059615350724652,0.0010059615350724652
route_quantile,korenmarkt,48,direct,total_transfer_m_inv2,q90,,,0.0010778252949060418,,-1.9286549331065747e-15,0.0010778252949060418,0.0010778252949060418
route_quantile,korenmarkt,48,direct,wbsar_m2_per_kg,q10,,,0.04502505117330414,,-3.85730986621315e-15,0.04502505117330414,0.04502505117330414
route_quantile,korenmarkt,48,direct,wbsar_m2_per_kg,q50,,,0.04747617670514366,,-1.446491199829931e-15,0.04747617670514366,0.04747617670514366
route_quantile,korenmarkt,48,direct,wbsar_m2_per_kg,q90,,,0.05027584881915904,,-2.8929823996598624e-15,0.05027584881915904,0.05027584881915904
route_quantile,korenmarkt,48,all_specular,total_transfer_m_inv2,q10,,,0.0002262763733996229,,0.0,0.0002262763733996229,0.0002262763733996229
route_quantile,korenmarkt,48,all_specular,total_transfer_m_inv2,q50,,,0.00027996817796781346,,0.0,0.00027996817796781346,0.00027996817796781346
route_quantile,korenmarkt,48,all_specular,total_transfer_m_inv2,q90,,,0.0003568551933791438,,0.0,0.0003568551933791438,0.0003568551933791438
route_quantile,korenmarkt,48,all_specular,wbsar_m2_per_kg,q10,,,0.01198491261267886,,-2.410818666383218e-15,0.01198491261267886,0.01198491261267886
route_quantile,korenmarkt,48,all_specular,wbsar_m2_per_kg,q50,,,0.013538655357191736,,-2.8929823996598624e-15,0.013538655357191736,0.013538655357191736
route_quantile,korenmarkt,48,all_specular,wbsar_m2_per_kg,q90,,,0.016950047194396668,,2.8929823996598604e-15,0.016950047194396668,0.016950047194396668
